nome,cidade,pais,descricao,lat,lng,tags
Cachoeira do Formiga,Mateiros ,Brasil,"A piscina de água transparente tem aproximadamente oito metros de diâmetro e quase dois de profundidade máxima, e está cercada por uma vegetação nativa, que alivia o temeroso calor do Jalapão.",-10333639,-464727687,#Natureza #EcoTurismo 
Quinta da Regaleira, Sintra,Portugal,"O Palácio da Regaleira é o edifício principal e o nome mais comum do palácio da Quinta da Regaleira. Também é designado Palácio do Monteiro dos Milhões, denominação esta associada à alcunha do seu primeiro proprietário foi António Augusto que foi distinguido pelo rei Dom Carlos I em 16 de agosto de 1904 como barão de Almeida.",387963069,-93982131,#Historia #monumento #arquitetura
 Ilha de San Andrés,San Andrés,Colombia ,"A Ilha de San Andrés é a maior das ilhas que formam parte do Arquipélago de San Andrés, Providencia e Santa Catalina, que tem uma área total de 26 km².",-125404493,-81774295,#Natureza #Praia #Ecoturismo #Aguas-Claras #Paraiso
Hallstatt,Hallstatt,Austria,"Hallstatt trata-se de uma pequena aldeia da Áustria, cravada entre as montanhas e o Lago Hallstatter See. Em 1997, foi declarada Patrimônio Histórico da Unesco.",475344487,135405903,#Historia #monumento #arquitetura
Represa El Yeso,Santiago,Chile,"Desde o Cajón del Maipo pode ter acesso ao embalse, característico por possuir uma reserva de água turquesa de 253 milhões de metros cúbicos.",-336436301,-701222733,#Natureza #Represa #Beleza-Natural 
Chauen,Chauen,marrocos,"Considerada um local sagrado por ali se encontrar o túmulo do santo padroeiro da região de Jebala, o sufista Moulay Abdeslam Ben Mchich Alami (1140-1227), Xexuão teve fama de ser interdita a não muçulmanos, apesar de nela viverem muitos judeus. Diz-se que sete visitas ao seu túmulo em anos consecutivos equivalem a uma peregrinação a Meca.",351688677,-52889194,#religião #historia #monumento #arquitetura
Gruta Rei do Mato - Sete Lagoas,Gruta Rei do Mato,Brasil,"O Monumento Natural Estadual Gruta Rei do Mato é uma Unidade de Conservação de Proteção Integral, criada em 25 de agosto 2009, com o objetivo de proteger o sítio histórico Gruta Rei do Mato, seus ecossistemas cársticos de grande beleza cênica, sua flora e fauna, valorizando os patrimônios espeleológico, arqueológico e paleontológico.",-19494838,-442827146,#Gruta #Monumento #Monumento-Natural #Natureza #Historia
Pelourinho,Salvador ,Brasil,"O Centro Histórico de Salvador compreende a área histórica da cidade de Salvador, capital do estado brasileiro da Bahia, composto por ruas e monumentos arquitetônicos da época do Brasil Colônia",-129713511,-385105043,#Historia #Comunidade #Pontos-Turisticos #Olodum #Cultural
Santuário do Bom Jesus do Matosinhos,Congonhas ,Brasil,"O Santuário de Bom Jesus de Matosinhos é um conjunto arquitetônico e paisagístico formado por uma igreja, um adro e seis capelas anexas, localizado no município brasileiro de Congonhas, estado de Minas Gerais.",-205081085,-438628936,#PrediosHistoricos #Historia #Monumentos
Parque Nacional Serra da Capivara ,Canto do Buriti,Brasil,"O Parque Nacional Serra da Capivara é uma unidade de conservação brasileira de proteção integral à natureza localizada nos municípios piauienses de Canto do Buriti, Coronel José Dias, São João do Piauí e São Raimundo Nonato.",-86629225,-426781083,#Natureza #Serra #Historia 
Ruínas de São Miguel das Missões ,São Miguel das Missões ,Brasil,"O Sítio Arqueológico de São Miguel Arcanjo, popularmente conhecido como Ruínas de São Miguel das Missões, é o conjunto de remanescentes da antiga redução jesuítica de São Miguel Arcanjo, integrante dos chamados Sete Povos das Missões.",-28704781,-5481338771.00,#Ruinas #Historia #Predios-Historicos
