Nome,Descrição,Description,LAT,LNG,TAGS
Arena das Dunas,"Arena multiuso, com 31.375 assentos. Além de partidas de futebol, o estádio tem capacidade de abrigar eventos de grande porte.",,"-58,267,995","-352,146,178",#esporte #arquitetura #cultura 
Midway Mall,"Maior shopping do estado, reúne lojas, cinema, teatro e serviços de todos os segmentos.",,-58111729,-352084339,#compras #role #food #cinema #cultura #teatro
Whiskritorio,"Possui 3 ambientes como a varanda ao ar livre, ambiente com jogos como sinuca, e outro para apresentação de bandas voltados para o rock.",,"-58,623,386","-351,946,967",#festa #nigth #out #party #curticao #pub
Morro do Careca,"Principal cartão postal natural da cidade, está localizado na praia de Ponta Negra e é atualmente protegido pelas leis de conservação ambiental.",,"-58,792,592","-351,957,651",#Natureza #Praia #urbano #cidade 
"Praia de Pipa
","Litoral Sul-Localizada a 85 km de Natal a praia de Pipa é uma das mais famosas do país atraindo turistas do mundo inteiro. Com paisagens deslumbrantes e diversas opções de lazer, a praia é indispensável para quem visita o estado.",,"-61,865,202","-350,943,312",#Natureza #Praia #Ecoturismo #Aguas-Claras #Paraiso
São Miguel do Gostoso,"Litoral Norte- A 110 km de Natal, com praias desertas de águas calmas como Ponta do Santo Cristo, do Cardeiro e da Xêpa, é um convite para relaxar e um dos destinos indispensáveis para quem visita o estado.
",,"-51,838,465","-358,706,343",#Natureza #Praia #Ecoturismo #Aguas-Claras #Paraiso
Buraco da Catita,"Localizado no Centro Histórico de Natal, tem sua origem ligada aos grupos musicais Ribeira de Pau e Corda e Catita Choro e Gafieira.
",,"-5,778,332","-352,075,877",#festa #nigth #out #party #curticao #bar #samba 
Ponte Newton Navarro,"Liga os bairros da zona norte aos bairros da zona leste e litoral sul, passando pelo Rio Potengi. Se tornou atração turística devido a sua altura e bela arquitetura. Tem 1,8 km de extensão e 55 m de altura.
",,"-57,526,601","-352,081,044",#ponte #arquitetura #urbanismo #cidade
Fortaleza dos Reis Magos,"A Fortaleza dos Reis Magos é uma edificação militar histórica e o monumento mais antigo de Natal. Recebeu esse nome em função da data de início da sua construção,6 de janeiro de 1598, dia de Reis pelo calendário católico.",,"-57,563,711","-351,970,967",#arquitetura #historia #praia 
Camarões Restaurante,"Matriz de um dos restaurantes mais famosos da cidade, oferecendo com a mesma qualidade o cardápio e serviços. Pratos regionais, ambiente moderno e cuidado no atendimento. Fecha das 15:30 às 18:30. Ver no site demais endereços na cidade.",,"-58,723,353","-351,826,629",#comida #restaurante #tradicao 
Mangai,"Ambiente acolhedor com uma decoração especial, ideal para conhecer a deliciosa cozinha regional numa variedade de pratos.",,"-5,819,761","-352,144,267",#comida #restaurante #tradicao 
Tábua de Carne,"Um dos mais tradicionais da cidade, o restaurante oferece um ótimo serviço, conforto e cardápio regional especial. Fecha diariamente das 16:00 às 18:30. Veja no site os detalhes da filial, na Via Costeira.",,"-58,281,255","-352,224,741",#comida #restaurante #tradicao 
